Name,State,Population,PercentCollegeGrad,IncomePerCapita,Employees,RetailSales,MedianRent
Aleutians East,AK,2305,12.9,20114,1410,6693,518
Aleutians West,AK,5259,14.8,20298,4321,24233,428
Anchorage,AK,251335,26.9,26619,93037,2612640,528
Bethel,AK,15525,13.1,15493,2269,59687,460
Bristol Bay,AK,1023,18.9,29699,392,9653,464
Dillingham,AK,4360,15.3,22616,1060,23077,518
Fairbanks North Star,AK,83374,25.2,19149,17746,702135,471
Haines,AK,2181,17.6,26413,371,15154,405
Juneau,AK,29378,30.7,26066,8369,289620,587
Kenai Peninsula,AK,46151,17.9,22761,8934,329438,410
Ketchikan Gateway,AK,14422,20.2,28789,5583,152834,533
Kodiak Island,AK,14987,21.5,20889,4234,94172,602
Lake and Peninsula,AK,1787,14.4,18448,557,2545,417
Matanuska-Susitna,AK,50686,18.1,16506,6193,306380,430
Nome,AK,8754,13.8,16223,1713,38498,546
North Slope,AK,7024,14.1,24491,1575,72335,600
Northwest Arctic,AK,6501,11.9,17515,1068,31039,627
Prince of Wales-Outer Ketchikan,AK,7109,11.4,16904,1074,25572,329
Sitka,AK,8710,21.4,22970,3042,78119,520
Skagway-Yakutat-Angoon,AK,4655,15.8,23945,849,26566,306
Southeast Fairbanks,AK,6018,19,18024,495,28132,389
Valdez-Cordova,AK,10475,18.5,26317,1992,70343,457
Wade Hampton,AK,6574,10.2,10768,456,25333,359
Wrangell-Petersburg,AK,7089,19.8,24475,1684,52280,422
Yukon-Koyukuk,AK,6057,13.8,15148,673,20710,279
Autauga,AL,39381,14.5,16241,7402,232748,257
Baldwin,AL,120198,16.8,17571,28515,842030,265
Barbour,AL,26469,11.8,16000,7190,148838,146
Bibb,AL,17942,4.7,13481,3626,58088,140
Blount,AL,42721,7,15403,7233,155305,164
Bullock,AL,11149,10,11236,2308,28147,102
Butler,AL,21798,8,12743,4963,121182,133
Calhoun,AL,117263,14.2,15679,36361,816302,218
Chambers,AL,37262,8.9,14640,11869,209103,154
Cherokee,AL,21038,6.7,13978,3318,88887,148
Chilton,AL,34912,7.5,14654,5675,177201,157
Choctaw,AL,16079,8.5,13893,4765,56938,99
Clarke,AL,27993,10.8,14325,7295,173498,147
Clay,AL,13551,7.3,15370,4189,45529,116
Cleburne,AL,13272,6.5,15089,2018,49659,147
Coffee,AL,42359,16.5,17991,13097,338412,234
Colbert,AL,52586,11.5,16244,18466,397307,191
Conecuh,AL,14022,6.4,13644,3413,40715,110
Coosa,AL,11680,6.3,12964,1619,13201,137
Covington,AL,37459,9.1,14392,11365,245933,147
Crenshaw,AL,13624,8.4,14297,3143,42944,118
Cullman,AL,72489,7.8,16192,18892,479866,184
Dale,AL,50001,13.5,14776,10930,185573,238
Dallas,AL,48022,12.2,14013,14607,282488,151
De Kalb,AL,57271,7.1,15163,18466,284735,161
Elmore,AL,57071,12.8,15209,7854,237773,197
Escambia,AL,36541,7.6,13763,10401,224288,153
Etowah,AL,100259,10.2,15993,31241,647620,186
Fayette,AL,18019,8.5,14124,4870,82749,132
Franklin,AL,29313,6.9,15664,9012,163099,146
Geneva,AL,24727,6.8,16090,5385,108274,130
Greene,AL,10076,10.4,11422,1491,33492,99
Hale,AL,16212,8.9,12334,2615,46930,99
Henry,AL,15752,8.2,14069,3788,55019,134
Houston,AL,84367,15,17718,41033,850425,215
Jackson,AL,50128,8,16175,12945,271611,169
Jefferson,AL,657827,19.9,20861,337279,6036037,263
Lamar,AL,15754,6.2,14356,5177,60431,110
Lauderdale,AL,83598,16.4,16505,26367,654057,217
Lawrence,AL,32803,6.2,14141,4901,98328,143
Lee,AL,94029,25.3,14786,26792,628036,266
Limestone,AL,59344,13.8,16359,14976,308254,214
Lowndes,AL,12946,8.2,11239,1520,32919,99
Macon,AL,23959,18,11732,5060,56261,186
Madison,AL,258340,30.1,21455,113071,2068818,332
Marengo,AL,23662,11.5,14119,6274,124363,117
Marion,AL,30382,6.7,13894,9476,147830,132
Marshall,AL,78195,11.5,16382,30630,846937,200
Mobile,AL,397413,15.5,16191,147179,2854557,233
Monroe,AL,24550,10.8,14290,8501,130206,169
Montgomery,AL,218880,24.2,20014,92931,1919456,292
Morgan,AL,107034,15.5,18736,38048,841367,261
Perry,AL,12708,11.5,11157,2461,31477,99
Pickens,AL,20956,6.6,13264,3474,70075,99
Pike,AL,28848,14.3,14923,8850,178746,177
Randolph,AL,20323,7.7,14197,4477,84870,133
Russell,AL,51436,8.2,14059,10239,217755,195
Shelby,AL,123500,29,20999,28767,518383,379
St. Clair,AL,57713,8.5,14740,8507,191723,199
Sumter,AL,16390,11.1,12120,3472,57857,115
Talladega,AL,76737,10.2,13822,18924,405195,163
Tallapoosa,AL,39737,11.5,16433,19022,210818,160
Tuscaloosa,AL,158732,20,16659,54967,1133680,254
Walker,AL,69678,7.2,16189,15005,496706,175
Washington,AL,17385,6.7,14647,3480,54361,112
Wilcox,AL,13628,10.3,10759,2639,44274,99
Winston,AL,23489,5.4,14988,9467,105730,140
Arkansas,AR,21032,10.3,16099,7697,137493,179
Ashley,AR,24651,9.3,15398,8028,113399,182
Baxter,AR,35666,10.4,15907,10082,241459,240
Benton,AR,120932,14.4,18411,45935,723812,286
