STATE_NAME,STATE_ABBR,DIVISION,FIPS_2,FIPS_5,STATE_ALPH,AREA,POP1995,POP1990,POP90_SQMI,G_MALES,G_MALES_P,G_FEMALE,G_FEMALE_P,R_WHITE,R_WHITE_P,R_BLACK,R_BLACK_P,R_HISPAN,R_HISPAN_P,AGE_AVG,AGE_0_4_P,AGE_5_17_P,AGE18_64_P,AGE_65UP_P,E_HSGRAD_P,E_COLGRD_P,INCOME_PC,INCOME_HH,UNEMPL_P,SALES_PC,FEDFUND_PC,HOUSEHOLDS,H_MOBILEHM,H_VALUE_M,H_RENT_M,RENT_P_INC,COMMUTE_TM,FARMS,FARM_P,F_CROP_ACR
Alabama,AL,East South Central,1,1000,1,12.897,4252982,4040587,79.68,1936162,47.91999817,2104425,52.08000183,2975797,73.65000153,1020705,25.26000023,24629,0.610000014,33.70000076,7.010000229,19.19000053,60.84999847,12.93999958,66.90000153,15.69999981,17129,23597,6,17129,5317,1506790,224307,53700,325,24.79999924,26,43318,26,4496607
Alaska,AK,Pacific,2,2000,2,277.513,603617,550043,0.96,289867,52.70000076,260176,47.29999924,415492,75.54000092,22451,4.079999924,17803,3.24000001,27.70000076,9.979999542,21.35000038,64.59999847,4.070000172,86.59999847,23,23070,41408,7.800000191,23070,7466,188915,20280,94400,559,23.79999924,20,574,0,66305
Arizona,AZ,Mountain,4,4000,3,28.859,4217940,3665228,32.32,1810691,49.40000153,1854537,50.59999847,2963186,80.84999847,110524,3.019999981,688338,18.78000069,33.09999847,7.989999771,18.78000069,60.16999817,13.06000042,78.69999695,20.29999924,18085,27540,6.400000095,18085,4657,1368843,250597,80100,438,27.5,26,7669,48,1453852
Arkansas,AR,West South Central,5,5000,4,13.517,2483769,2350725,45.25,1133076,48.20000076,1217649,51.79999924,1944744,82.73000336,373912,15.90999985,19876,0.850000024,34.59999847,7,19.42000008,58.68999863,14.89000034,66.30000305,13.30000019,15995,21147,5.300000191,15995,4676,891179,131542,46300,328,26.5,23,48242,42,9950401
California,CA,Pacific,6,6000,5,41.533,31589153,29760021,190.33,14897627,50.06000137,14862394,49.93999863,20524327,68.97000122,2208801,7.420000076,7687938,25.82999992,32,8.06000042,17.98999977,63.41999817,10.53999996,76.19999695,23.39999962,21895,35798,8.600000381,21895,4962,10381206,555307,195500,620,29.10000038,29,83217,29,10894503
Colorado,CO,Mountain,8,8000,6,28.041,3746585,3294394,31.75,1631295,49.52000046,1663099,50.47999954,2905474,88.19000244,133146,4.039999962,424302,12.88000011,32.20000076,7.679999828,18.46999931,63.86000061,10,84.40000153,27,21498,30140,4.199999809,21498,5226,1282489,88683,82700,418,26.10000038,24,27284,51,10988853
Connecticut,CT,New England,9,9000,7,1.392,3274662,3287116,676.08,1592873,48.45999908,1694243,51.54000092,2859353,86.98999786,274269,8.340000153,213116,6.480000019,34.79999924,6.949999809,15.85999966,63.63000107,13.56999969,79.19999695,27.20000076,28151,41721,5.599999905,28151,5075,1230479,12118,177800,598,26.60000038,25,3580,12,210012
Delaware,DE,South Atlantic,10,10000,8,0.553,717197,666168,336.11,322968,48.47999954,343200,51.52000046,535094,80.31999969,112460,16.87999916,15820,2.369999886,33.5,7.329999924,17.19000053,63.36000061,12.11999989,77.5,21.39999962,21852,34875,4.900000095,21852,4277,247497,34944,100100,495,24.70000076,24,2966,47,501290
District of Columbia,DC,South Atlantic,11,11000,9,0.018,554256,606900,9949.18,282970,46.63000107,323930,53.36999893,179667,29.60000038,399604,65.83999634,32710,5.389999866,34.59999847,6.150000095,13.14000034,67.87999725,12.82999992,73.09999847,33.29999924,29500,30727,8.199999809,29500,39087,249634,82,123900,479,25.39999962,32,0,0,0
Florida,FL,South Atlantic,12,12000,10,13.348,14165570,12937926,239.19,6261719,48.40000153,6676207,51.59999847,10749285,83.08000183,1759534,13.60000038,1574143,12.17000008,37.09999847,6.570000172,15.59000015,59.52999878,18.30999947,74.40000153,18.29999924,20650,27483,6.599999905,20650,5113,5134869,762855,77100,481,28,26,36556,31,3790599
